,rewards,random_rewards
145,873.8393985240833,1812.25600694561
146,1246.442622361665,1408.4083762938337
147,1790.5998631106363,1726.279485029882
148,1504.0693713396192,1396.9039063649693
149,1007.2797723752827,969.5432297472967
150,1857.2077267230443,1346.811100894011
151,1366.0277946335586,1326.7524373013352
152,1892.4620746269122,1360.485958397727
153,1937.2403194850633,1507.8897248945264
154,1698.9345164596139,1473.3946961465713
155,2000.691231849045,1427.3248004740994
156,1503.4634350711824,1267.432391274512
157,1438.6117203063554,1839.5082964992707
158,1468.446179757526,1475.3322916439988
159,1489.9174440735433,1316.41084126244
160,1405.3802727626073,1144.680939913165
161,1150.6943164374347,2032.1531080996228
162,1986.7939084769002,1088.1336097592136
163,1917.4393750685338,1210.5354930051462
164,1416.147352296213,1316.3088437506426
165,1695.9376411920198,965.6366534526851
166,1480.87385624145,1452.9799113005315
167,1248.9477458072279,1391.974016764824
168,1786.37318656715,1504.6918975125698
169,1572.2947667076776,1565.0051889336712
170,1860.027597070471,1384.5103573837973
171,1247.469298683969,1448.2093299172095
172,1489.55012376728,1716.0837858964271
173,1360.6450878665923,1492.8761427472894
174,1877.6566597572828,1153.993037103152
175,1528.604364846504,1192.1200092325355
176,1954.6170983896093,1078.2712773326607
177,1474.2139932273415,1363.6990854083015
178,1304.968265013934,1134.3764917191645
179,1190.1108851321799,964.0199301604392
180,1286.6875967375809,1358.7057091196382
181,1525.3258662239737,971.1410598442444
182,1205.3335710924855,1311.1762335608507
183,1285.527315613543,1779.5528748160204
184,1436.191443420199,1479.7789221820412
185,1183.3481797279742,1355.2221796048973
186,1503.8564218467961,1748.724048754265
187,1353.73865748136,1616.5858219956513
188,1970.197229712078,1842.7496093029345
189,1880.9278525763484,1133.6529983698565
190,1648.0043714996918,1823.9242988709943
191,1720.6405945635602,1115.2513473662166
192,1399.3916127564696,1835.514625857157
193,1643.9168070101794,1054.4029533842954
194,1216.3818617704633,1673.6200476642948
195,1243.9172950828954,1456.6564807489144
196,1384.688016084457,1262.323877148722
197,1836.2430288986686,1677.9874739032725
198,1605.1782465902543,1429.2787794194098
199,1556.891950992547,1340.5823052702617
200,1585.3307082810018,1572.0079899454204
