,rewards
1127,162.9369047619049
1128,30.822222222222322
1129,101.0
1130,102.5
1131,100.0
1132,105.31071428571428
1133,131.88015873015883
1134,104.36666666666666
1135,100.0
1136,153.33333333333337
1137,104.36666666666666
1138,50.476190476190446
1139,33.20277777777778
1140,35.31785714285712
1141,105.31071428571428
1142,43.74047619047629
1143,30.833333333333506
1144,155.31666666666672
1145,34.24285714285723
1146,30.926190476190577
1147,31.400000000000183
1148,107.72619047619048
1149,121.4190476190476
1150,101.0
1151,33.4611111111111
1152,101.2801587301584
1153,43.440476190476424
1154,201.99999999999997
1155,37.58650793650815
1156,52.961904761904876
1157,61.541269841270186
1158,138.83333333333334
1159,104.36666666666666
1160,105.31071428571428
1161,100.0
1162,100.0
1163,166.6666666666667
1164,31.7611111111113
1165,38.244047619047755
1166,52.39246031746041
1167,105.31071428571428
1168,105.31071428571428
1169,143.9091269841272
1170,81.06666666666675
1171,100.0
1172,30.926190476190577
1173,143.4666666666667
1174,105.31071428571428
1175,120.94404761904758
1176,159.91666666666674
1177,104.16666666666642
1178,32.63888888888895
1179,50.50952380952378
1180,30.31230158730175
1181,30.55555555555572
1182,51.12142857142852
1183,33.36944444444453
1184,101.0
1185,182.74999999999997
1186,100.0
1187,31.441269841269946
1188,101.0
1189,31.441269841269946
1190,105.31071428571428
1191,104.36666666666666
1192,43.99444444444466
1193,44.498809523809804
1194,100.0
1195,122.42857142857142
1196,120.57063492063489
1197,33.472222222222214
1198,30.83333333333343
1199,100.0
1200,104.36666666666666
1201,114.87380952380951
1202,152.16666666666669
1203,105.31071428571428
1204,31.441269841269946
1205,117.22777777777776
1206,111.80000000000001
1207,102.5
1208,102.5
1209,117.91666666666667
1210,87.6666666666667
1211,37.275793650793666
1212,33.472222222222214
1213,50.476190476190446
1214,50.47619047619044
1215,30.83333333333343
1216,144.94047619047623
1217,197.66666666666652
1218,31.430158730158837
1219,104.16666666666642
1220,140.57222222222225
1221,50.476190476190446
1222,30.83333333333343
1223,32.20396825396833
1224,104.36666666666666
1225,100.0
1226,50.47619047619044
1227,31.03055555555564
1228,33.472222222222214
1229,104.24999999999974
1230,30.83333333333343
1231,100.0
1232,129.2952380952381
1233,105.31071428571428
1234,100.0
1235,104.16666666666642
1236,31.080555555555655
1237,107.91666666666646
1238,104.16666666666642
1239,31.772222222222336
1240,30.83333333333343
1241,37.19126984126986
1242,105.31071428571428
1243,31.441269841269946
1244,42.824603174603375
1245,47.751190476190686
1246,104.36666666666666
1247,115.20714285714284
1248,100.0
1249,31.441269841269946
1250,32.56825396825419
1251,104.36666666666666
1252,112.0
1253,142.93690476190483
1254,30.822222222222322
1255,35.60992063492062
1256,105.31071428571428
1257,100.0
1258,31.441269841269946
1259,31.441269841269946
1260,43.30873015873039
1261,104.16666666666642
1262,30.937301587301686
1263,33.49404761904761
1264,105.31071428571428
1265,118.25119047619043
1266,31.441269841269946
1267,30.83333333333343
1268,104.36666666666666
1269,105.31071428571428
1270,100.0
1271,31.9559523809524
1272,49.191269841270184
1273,103.93174603174603
1274,101.0
1275,139.0
1276,104.36666666666666
1277,30.926190476190577
1278,140.41666666666669
1279,104.36666666666666
1280,32.11071428571444
1281,102.5
1282,110.31428571428572
1283,45.334126984127145
1284,77.73333333333346
1285,31.491666666666728
1286,100.0
1287,87.11666666666673
1288,46.08333333333347
1289,107.44404761904762
1290,100.0
1291,101.0
1292,228.83333333333326
1293,30.926190476190577
1294,100.0
1295,48.103571428571406
1296,102.5
1297,108.5702380952381
1298,113.61071428571427
1299,176.58333333333331
1300,164.00000000000003
1301,38.17380952380974
1302,30.926190476190577
1303,104.36666666666666
1304,42.2313492063494
1305,105.31071428571428
1306,91.51666666666674
1307,134.58333333333306
1308,130.04801587301594
1309,31.441269841269946
1310,100.0
1311,30.950000000000102
1312,104.36666666666666
1313,31.441269841269946
